,Underlying,Ticker,Type,Expiration,YTE,DTE,Strike,Last,Bid,Ask,Midpoint,Spread,IV,NPV,Delta,Gamma,Theta,AKA
0,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,235.0,113.75,90.0,94.0,92.0,4.0,1.68359533203125,92.39001464843746,0.9999999999994184,-4.8385108321124245e-11,0.0,GS210401C00235000
1,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,260.0,56.0,82.3,88.2,85.25,5.900000000000006,2.925661865539551,67.39001464843709,0.999999999995043,4.289851263046892e-11,0.0,GS210401C00260000
2,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,270.0,56.4,53.85,58.8,56.325,4.949999999999996,1.0578660388183594,57.39001464843742,1.0000000000011346,-1.3850084296049663e-10,0.0,GS210401C00270000
3,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,275.0,51.87,49.05,54.0,51.525,4.950000000000003,1.01172369140625,52.39001464843737,0.9999999999969895,-6.029836043473701e-11,0.0,GS210401C00275000
4,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,282.5,51.18,42.0,47.0,44.5,5.0,0.9604496142578124,44.89001464843734,0.9999999999976725,2.376313251648153e-11,0.0,GS210401C00282500
5,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,285.0,58.87,40.0,43.65,41.825,3.6499999999999986,0.7976094458007812,42.39001464843743,0.9999999999983333,-4.730561009676686e-11,0.0,GS210401C00285000
6,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,287.5,44.19,37.5,42.35,39.925,4.850000000000001,0.9184578466796876,39.890014648437344,0.9999999999984386,1.8511946709855103e-11,0.0,GS210401C00287500
7,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,290.0,39.63,35.0,39.15,37.075,4.149999999999999,0.790041162109375,37.39001464843738,1.0000000000014464,1.7296969405153445e-11,0.0,GS210401C00290000
8,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,295.0,40.82,30.4,33.65,32.025,3.25,0.6430699755859376,32.390014648437386,0.9999999999989249,2.4910575520203464e-11,0.0,GS210401C00295000
9,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,297.5,30.15,27.7,31.45,29.575,3.75,0.6428258374023439,29.89001464843739,0.9999999999995621,2.4511613864845624e-11,0.0,GS210401C00297500
10,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,300.0,23.44,25.65,28.75,27.2,3.1000000000000014,0.5778850805664062,27.39001464843742,0.9999999999992789,2.1954479899545646e-11,0.0,GS210401C00300000
11,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,302.5,17.73,40.6,47.5,44.05,6.899999999999999,1.866089536743164,24.890014648437408,0.9999999999995092,1.713516667479755e-11,0.0,GS210401C00302500
12,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,305.0,38.88,20.8,24.5,22.65,3.6999999999999993,0.5770305969238281,22.390014648437432,0.9999999999995923,-7.499072569342075e-12,0.0,GS210401C00305000
13,327.3900146484375,GS,Call,2021-04-02,0.0136986301369863,5,307.5,12.6,36.55,42.5,39.525,5.950000000000003,1.7584240594482423,19.890014648437397,1.0000000000002514,1.662032813813906e-11,0.0,GS210401C00307500
