,longs,percent_diff,shorts
A,False,-0.050207826965617076,True
AA,False,-0.16603651813805909,True
AAL,False,-0.000703234880450037,True
AAPL,False,-0.04549935397425495,True
ABBV,False,-0.0442097789435058,True
ABC,False,-0.01827660714519043,True
ABNB,False,-0.0936583270837328,True
ABT,False,-0.03957950027143177,True
ACC,True,0.05597009884493265,False
ACN,False,-0.057692930260866256,True
ACWI,False,-0.04498088315163674,True
ADBE,False,-0.05871748977798566,True
ADI,False,-0.014468105368185038,True
ADM,False,-0.02542867552877825,True
ADP,False,-0.03079509979703822,True
ADSK,False,-0.03839419688260284,True
AEP,False,-0.01152211015230317,True
AFRM,False,-0.22299054199021726,True
AGG,False,-0.014969641360623575,True
AIG,False,-0.022436381326220937,True
AKAM,False,-0.07792056865112257,True
ALB,False,-0.004887509571053917,True
ALGN,False,-0.20682734773907396,True
ALL,False,-0.04455154581568075,True
AMAT,False,-0.05091017108875187,True
AMC,False,-0.19460677147691205,True
AMD,False,-0.06936514185793309,True
AMGN,False,-0.03261905867748698,True
AMT,False,-0.047804931193441334,True
AMZN,False,-0.14964110746569131,True
ANET,False,-0.09086497960450494,True
ANTM,False,-0.00617604170787319,True
AON,False,-0.07817725926453138,True
APA,False,-0.01199466167096333,True
APD,False,-0.031250475608003016,True
APTV,False,-0.04717132805407083,True
AR,True,0.05554850982878879,False
ARKK,False,-0.1608117025956886,True
ASML,False,-0.07607656782509624,True
ATVI,False,-0.01678512226804959,True
AVB,False,-0.08032049504139475,True
AVGO,False,-0.028894162608641773,True
AXP,False,-0.04552866412982015,True
AZN,False,-0.022399707979661516,True
AZO,False,-0.03999715893998457,True
BA,False,-0.1304253102590296,True
BABA,False,-0.05052070362510771,True
BAC,False,-0.0494112718489005,True
BAX,False,-0.04241334280281303,True
BBWI,True,0.03205262733069671,False
BBY,False,-0.006973563086660048,True
BDX,False,-0.03347645612458021,True
BEKE,False,-0.022442143727162023,True
BG,False,-0.011134745241568354,True
BHP,False,-0.08230510804000933,True
BIDU,False,-0.05809182159237492,True
BIIB,False,-0.031846617180893294,True
BIL,True,7.128551546220262e-05,False
BILI,False,-0.09752274455679787,True
BILL,False,-0.1865253518242194,True
BK,False,-0.06448752181631043,True
BKLN,False,-0.010053322721846248,True
BKNG,False,-0.02740285838672648,True
BKR,False,-0.07807076944845905,True
BLK,False,-0.08757181046022441,True
BMY,True,0.0030438283990554373,False
BND,False,-0.015338648979628222,True
BNTX,False,-0.09318701745908416,True
BP,True,0.00047990470627288633,False
BRK.A,False,-0.04756290333961885,True
BRK.B,False,-0.050036372020988366,True
BSV,False,-0.0036870142501490353,True
BSX,False,-0.04892151890709674,True
BTU,False,-0.10953423837636357,True
BX,False,-0.08132466721057403,True
C,False,-0.02469321648902563,True
CAR,False,-0.017394705925825694,True
CARR,False,-0.07773286351736293,True
CAT,False,-0.02516336302419706,True
CB,False,-0.013117816655552438,True
CCI,False,-0.03422773841981728,True
CCJ,False,-0.10667074281578723,True
CCL,False,-0.0948582394220461,True
CDNS,False,-0.034158029793048154,True
CERN,True,0.003569652611765842,False
CF,False,-0.03559295467013791,True
CFG,False,-0.04772170625462285,True
CHTR,False,-0.11838448043801245,True
CHWY,False,-0.20704784152321629,True
CI,True,0.002880138877929641,False
CL,False,-0.01750287111960522,True
CLF,False,-0.1256185831316104,True
CLX,True,0.01958412755865906,False
CMCSA,False,-0.09143853464132434,True
CME,False,-0.0573202730816499,True
CMG,False,-0.06484111068234234,True
CMI,False,-0.002432199332493441,True
CNC,False,-0.035551220390001165,True
COF,False,-0.03513453308489169,True
COIN,False,-0.23192683060984853,True
COP,False,-0.0010324514549602407,True
COST,False,-0.06429832171231532,True
CP,False,-0.04323488635119842,True
CPT,False,-0.06425413098642985,True
CRM,False,-0.07403208095753991,True
CRWD,False,-0.11059346527339563,True
CSCO,False,-0.04707967756629905,True
CSX,False,-0.01729661609349335,True
CTRA,True,0.04611636061092326,False
CTSH,False,-0.060270540468855466,True
CTVA,False,-0.027354695766020332,True
CVE,True,0.07743911867027463,False
CVNA,False,-0.38947667960608684,True
CVS,False,-0.029291667797898976,True
CVX,False,-0.01458328530984056,True
CZR,False,-0.08857641378411316,True
D,False,-0.02802540279901206,True
DAL,True,0.026082126295058718,False
DASH,False,-0.20442970285068635,True
DDOG,False,-0.11924645670757811,True
DE,False,-0.057760034158838694,True
DG,False,-0.011394179429686664,True
DHI,False,-0.025393519066442164,True
DHR,False,-0.08086711607368383,True
DIA,False,-0.028621777186046297,True
DIS,False,-0.09658942427462165,True
DKNG,False,-0.1398480170980765,True
DLR,False,-0.026751012865164445,True
DLTR,False,-0.004720652566352493,True
DOCU,False,-0.1413571151609154,True
DOW,True,0.028015470400805213,False
DPZ,False,-0.07985287789872664,True
DUK,False,-0.018818676695134744,True
DVN,True,0.02559305646122351,False
DXCM,False,-0.15848182914122338,True
EA,False,-0.03410608100527316,True
EBAY,False,-0.05043904118761107,True
ECL,False,-0.04308815283365953,True
EEM,False,-0.04178635476345411,True
EFA,False,-0.04092645700675668,True
EFX,False,-0.05307274334193715,True
EL,False,-0.04831686930091222,True
EMB,False,-0.03221462163317638,True
EMR,False,-0.04515882170267519,True
ENPH,False,-0.07774608163559688,True
EOG,True,0.0006623770957576769,False
EPAM,True,0.0305284717654163,False
EQIX,False,-0.04298477799865277,True
EQT,True,0.0194163082594577,False
ERX,True,0.0020975468137610317,False
ET,True,0.0016198507553235287,False
ETN,False,-0.0027377372916735344,True
ETSY,False,-0.13844619577318615,True
EW,False,-0.09797974047919399,True
EWC,False,-0.046420714164833704,True
EWJ,False,-0.03159175620676825,True
EWT,False,-0.04520254471650874,True
EWY,False,-0.03274285800826913,True
EWZ,False,-0.09629261349788974,True
EXC,False,-0.02000687866324649,True
EXPE,False,-0.11866916500209213,True
EZU,False,-0.04107154719989374,True
F,False,-0.06687532368106991,True
FANG,False,-0.01781689584623194,True
FB,False,-0.031138626629889126,True
FCX,False,-0.12399161464071516,True
FDX,False,-0.022040185522392258,True
FIS,False,-0.016538215503764643,True
FISV,False,-0.015548528154054386,True
FITB,False,-0.047339231709113236,True
FTNT,False,-0.1053969905939665,True
FXI,False,-0.0343963123403312,True
GD,False,-0.015363884884649274,True
GDX,False,-0.07662480988240529,True
GDXJ,False,-0.08299883455175673,True
GE,False,-0.10538266065153234,True
GILD,False,-0.0036649803260259033,True
GIS,True,0.008212145044917449,False
GLD,False,-0.02237068433556514,True
GM,False,-0.034188826958260934,True
GME,False,-0.1592983890228018,True
GNRC,False,-0.10538972122131615,True
GOLD,False,-0.06580280874475132,True
GOOG,False,-0.0821937362102875,True
GOOGL,False,-0.08247658765347045,True
GOVT,False,-0.011659745744696044,True
GPN,False,-0.04544422512451771,True
GS,False,-0.027625927058028455,True
GSK,False,-0.0083032739804711,True
GUSH,False,-0.034006210557144534,True
HAL,False,-0.04323634600784787,True
HCA,False,-0.0830781426008594,True
HD,False,-0.007835047578946595,True
HES,False,-0.014994735573569114,True
HLT,False,-0.01283401012683618,True
HON,True,0.005388490767814739,False
HOOD,False,-0.1166375870492026,True
HPQ,False,-0.003612114985966027,True
HSY,True,0.0034465996872921974,False
HUBS,False,-0.1328173946897903,True
HUM,False,-0.014806331826568403,True
HYG,False,-0.020469241354320853,True
HZNP,False,-0.09617751948223484,True
IAU,False,-0.02222232742214928,True
IBB,False,-0.07026588702559576,True
IBM,True,0.014945592695663071,False
IBN,False,-0.017557798296471354,True
ICE,False,-0.09721355474861099,True
IDXX,False,-0.15567544950026715,True
IEF,False,-0.014590598409820299,True
IEFA,False,-0.04178834700976612,True
IEI,False,-0.006274508678976814,True
IEMG,False,-0.04131182975547946,True
IGSB,False,-0.005232671700197153,True
IGV,False,-0.07176333695927026,True
IJH,False,-0.036458173910613,True
IJR,False,-0.03853720134250471,True
ILMN,False,-0.13718609215754712,True
INDA,False,-0.028675567713757153,True
INFY,False,-0.07560001901050346,True
INTC,False,-0.043153927133254964,True
INTU,False,-0.08837357951302816,True
IQV,False,-0.06295608723038801,True
ISRG,False,-0.13303076303080186,True
ITB,True,0.0012157360851778138,False
ITOT,False,-0.04741686227784142,True
ITUB,False,-0.10763383788742521,True
ITW,False,-0.002646018532216469,True
IVV,False,-0.04530003136216313,True
IVW,False,-0.061556802988690866,True
IWB,False,-0.04690889370932746,True
