,ticker
0,ATVI
1,ADBE
2,ADP
3,ABNB
4,ALGN
5,GOOGL
6,GOOG
7,AMZN
8,AMD
9,AEP
10,AMGN
11,ADI
12,ANSS
13,AAPL
14,AMAT
15,ASML
16,AZN
17,TEAM
18,ADSK
19,BKR
20,BIIB
21,BKNG
22,AVGO
23,CDNS
24,CHTR
25,CTAS
26,CSCO
27,CTSH
28,CMCSA
29,CEG
30,CPRT
31,CSGP
32,COST
33,CRWD
34,CSX
35,DDOG
36,DXCM
37,FANG
38,DLTR
39,EBAY
40,EA
41,ENPH
42,EXC
43,FAST
44,FISV
45,FTNT
46,GILD
47,GFS
48,HON
49,IDXX
50,ILMN
51,INTC
52,INTU
53,ISRG
54,JD
55,KDP
56,KLAC
57,KHC
58,LRCX
59,LCID
60,LULU
61,MAR
62,MRVL
63,MELI
64,META
65,MCHP
66,MU
67,MSFT
68,MRNA
69,MDLZ
70,MNST
71,NFLX
72,NVDA
73,NXPI
74,ORLY
75,ODFL
76,PCAR
77,PANW
78,PAYX
79,PYPL
80,PDD
81,PEP
82,QCOM
83,REGN
84,RIVN
85,ROST
86,SGEN
87,SIRI
88,SBUX
89,SNPS
90,TMUS
91,TSLA
92,TXN
93,VRSK
94,VRTX
95,WBA
96,WBD
97,WDAY
98,XEL
99,ZM
100,ZS
